날짜,영향을 받은 페이지
2026-03-28,1
2026-03-29,0
2026-03-30,0
2026-03-31,0
2026-04-01,0
2026-04-02,0
2026-04-03,0
2026-04-04,0
2026-04-05,0
2026-04-06,0
2026-04-07,0
2026-04-08,0
2026-04-09,0
2026-04-10,0
2026-04-11,0
2026-04-12,0
2026-04-13,0
2026-04-14,0
2026-04-15,0
2026-04-16,0
2026-04-17,0
2026-04-18,13
2026-04-19,13
2026-04-20,13
2026-04-21,68
2026-04-22,68
2026-04-23,68
2026-04-24,68
2026-04-25,81
2026-04-26,81
2026-04-27,81
2026-04-28,200
2026-04-29,200
2026-04-30,200
2026-05-01,200
2026-05-02,200
2026-05-03,200
2026-05-04,200
2026-05-05,200
2026-05-06,200
2026-05-07,200
2026-05-08,200
